,const,linear_drift,music_boxcar,music_hrf
219.0,1.0,-0.28606356968215163,1.0,1.0000000000000002
220.5,1.0,-0.28117359413202936,1.0,1.0000000000000002
222.0,1.0,-0.2762836185819071,1.0,1.0000000000000002
223.5,1.0,-0.2713936430317848,1.0,1.0000000000000002
225.0,1.0,-0.26650366748166254,1.0,1.0000000000000002
226.5,1.0,-0.2616136919315404,1.0,1.0000000000000002
228.0,1.0,-0.2567237163814181,1.0,1.0000000000000002
229.5,1.0,-0.25183374083129584,1.0,1.0000000000000002
231.0,1.0,-0.24694376528117357,1.0,1.0000000000000002
232.5,1.0,-0.2420537897310513,1.0,1.0000000000000002
234.0,1.0,-0.23716381418092913,1.0,1.0000000000000002
235.5,1.0,-0.23227383863080686,1.0,1.0000000000000002
237.0,1.0,-0.2273838630806846,1.0,1.0000000000000002
238.5,1.0,-0.22249388753056232,1.0,1.0000000000000002
240.0,1.0,-0.21760391198044005,1.0,1.0000000000000002
241.5,1.0,-0.21271393643031788,1.0,1.0000000000000002
243.0,1.0,-0.2078239608801956,1.0,1.0000000000000002
244.5,1.0,-0.20293398533007334,1.0,1.0000000000000002
246.0,1.0,-0.19804400977995107,1.0,1.0000000000000002
247.5,1.0,-0.1931540342298289,1.0,1.0000000000000002
249.0,1.0,-0.18826405867970664,1.0,1.0000000000000002
250.5,1.0,-0.18337408312958436,1.0,1.0000000000000002
252.0,1.0,-0.1784841075794621,1.0,1.0000000000000002
253.5,1.0,-0.17359413202933982,1.0,1.0000000000000002
255.0,1.0,-0.16870415647921766,1.0,1.0000000000000002
256.5,1.0,-0.1638141809290954,1.0,1.0000000000000002
258.0,1.0,-0.15892420537897312,1.0,1.0000000000000002
259.5,1.0,-0.15403422982885084,1.0,1.0000000000000002
261.0,1.0,-0.14914425427872857,1.0,1.0000000000000002
262.5,1.0,-0.1442542787286064,1.0,1.0000000000000002
264.0,1.0,-0.13936430317848414,1.0,1.0000000000000002
265.5,1.0,-0.13447432762836187,1.0,1.0000000000000002
267.0,1.0,-0.1295843520782396,1.0,1.0000000000000002
268.5,1.0,-0.12469437652811732,1.0,1.0000000000000002
270.0,1.0,-0.11980440097799516,1.0,1.0000000000000002
271.5,1.0,-0.11491442542787289,1.0,1.0000000000000002
273.0,1.0,-0.11002444987775062,1.0,1.0000000000000002
274.5,1.0,-0.10513447432762835,1.0,1.0000000000000002
276.0,1.0,-0.10024449877750607,1.0,1.0000000000000002
277.5,1.0,-0.09535452322738391,1.0,1.0000000000000002
279.0,1.0,-0.09046454767726164,1.0,1.0000000000000002
280.5,1.0,-0.08557457212713937,1.0,1.0000000000000002
282.0,1.0,-0.0806845965770171,1.0,1.0000000000000002
283.5,1.0,-0.07579462102689483,1.0,1.0000000000000002
285.0,1.0,-0.07090464547677267,1.0,1.0000000000000002
286.5,1.0,-0.0660146699266504,1.0,1.0000000000000002
288.0,1.0,-0.06112469437652812,1.0,1.0000000000000002
289.5,1.0,-0.05623471882640585,1.0,1.0000000000000002
291.0,1.0,-0.05134474327628358,1.0,1.0000000000000002
292.5,1.0,-0.04645476772616142,1.0,1.0000000000000002
294.0,1.0,-0.041564792176039145,1.0,1.0000000000000002
295.5,1.0,-0.03667481662591687,1.0,1.0000000000000002
297.0,1.0,-0.0317848410757946,1.0,1.0000000000000002
298.5,1.0,-0.02689486552567233,1.0,1.0000000000000002
300.0,1.0,-0.022004889975550168,1.0,1.0000000000000002
301.5,1.0,-0.017114914425427896,1.0,1.0000000000000002
303.0,1.0,-0.012224938875305624,1.0,1.0000000000000002
304.5,1.0,-0.007334963325183352,1.0,1.0000000000000002
306.0,1.0,-0.0024449877750610804,1.0,1.0000000000000002
307.5,1.0,0.0024449877750611915,1.0,1.0000000000000002
309.0,1.0,0.007334963325183352,1.0,1.0000000000000002
310.5,1.0,0.012224938875305513,1.0,1.0000000000000002
312.0,1.0,0.017114914425427896,1.0,1.0000000000000002
313.5,1.0,0.022004889975550057,1.0,1.0000000000000002
315.0,1.0,0.02689486552567244,1.0,1.0000000000000002
316.5,1.0,0.0317848410757946,1.0,1.0000000000000002
318.0,1.0,0.03667481662591676,1.0,1.0000000000000002
319.5,1.0,0.041564792176039145,1.0,1.0000000000000002
321.0,1.0,0.046454767726161306,1.0,1.0000000000000002
322.5,1.0,0.05134474327628369,1.0,1.0000000000000002
324.0,1.0,0.05623471882640585,1.0,1.0000000000000002
325.5,1.0,0.06112469437652801,1.0,1.0000000000000002
327.0,1.0,0.0660146699266504,1.0,1.0000000000000002
328.5,1.0,0.07090464547677255,1.0,1.0000000000000002
330.0,1.0,0.07579462102689494,1.0,1.0000000000000002
331.5,1.0,0.0806845965770171,1.0,1.0000000000000002
333.0,1.0,0.08557457212713926,1.0,1.0000000000000002
334.5,1.0,0.09046454767726164,1.0,1.0000000000000002
336.0,1.0,0.0953545232273838,1.0,1.0000000000000002
337.5,1.0,0.10024449877750619,1.0,1.0000000000000002
339.0,1.0,0.10513447432762835,1.0,1.0000000000000002
340.5,1.0,0.11002444987775051,1.0,1.0000000000000002
342.0,1.0,0.11491442542787289,1.0,1.0000000000000002
343.5,1.0,0.11980440097799505,1.0,1.0000000000000002
345.0,1.0,0.12469437652811743,1.0,1.0000000000000002
346.5,1.0,0.1295843520782396,1.0,1.0000000000000002
348.0,1.0,0.13447432762836176,1.0,1.0000000000000002
349.5,1.0,0.13936430317848414,1.0,1.0000000000000002
351.0,1.0,0.1442542787286063,1.0,1.0000000000000002
352.5,1.0,0.14914425427872868,1.0,1.0000000000000002
354.0,1.0,0.15403422982885084,1.0,1.0000000000000002
355.5,1.0,0.158924205378973,1.0,1.0000000000000002
357.0,1.0,0.1638141809290954,1.0,1.0000000000000002
358.5,1.0,0.16870415647921755,1.0,1.0000000000000002
360.0,1.0,0.17359413202933993,1.0,1.0000000000000002
361.5,1.0,0.1784841075794621,1.0,1.0000000000000002
363.0,1.0,0.18337408312958425,1.0,1.0000000000000002
364.5,1.0,0.18826405867970664,1.0,1.0000000000000002
366.0,1.0,0.1931540342298288,1.0,1.0000000000000002
367.5,1.0,0.19804400977995118,1.0,1.0000000000000002
369.0,1.0,0.20293398533007334,1.0,1.0000000000000002
370.5,1.0,0.2078239608801955,1.0,1.0000000000000002
372.0,1.0,0.21271393643031788,1.0,1.0000000000000002
373.5,1.0,0.21760391198044005,1.0,1.0000000000000002
375.0,1.0,0.22249388753056243,1.0,1.0000000000000002
376.5,1.0,0.2273838630806846,1.0,1.0000000000000002
378.0,1.0,0.23227383863080675,1.0,1.0000000000000002
379.5,1.0,0.23716381418092913,1.0,1.0000000000000002
381.0,1.0,0.2420537897310513,1.0,1.0000000000000002
382.5,1.0,0.24694376528117368,1.0,1.0000000000000002
