,const,linear_drift,scene_boxcar,scene_hrf
92.0,1.0,-0.9167043911272069,1.0,1.0
93.0,1.0,-0.9157990040742418,1.0,1.0
94.0,1.0,-0.9148936170212766,1.0,1.0
95.0,1.0,-0.9139882299683114,1.0,1.0
96.0,1.0,-0.9130828429153464,1.0,1.0
97.0,1.0,-0.9121774558623812,1.0,1.0
98.0,1.0,-0.911272068809416,1.0,1.0
99.0,1.0,-0.9103666817564509,1.0,1.0
100.0,1.0,-0.9094612947034857,1.0,1.0
101.0,1.0,-0.9085559076505206,1.0,1.0
102.0,1.0,-0.9076505205975555,1.0,1.0
103.0,1.0,-0.9067451335445903,1.0,1.0
104.0,1.0,-0.9058397464916251,1.0,1.0
105.0,1.0,-0.9049343594386601,1.0,1.0
106.0,1.0,-0.9040289723856949,1.0,1.0
107.0,1.0,-0.9031235853327297,1.0,1.0
108.0,1.0,-0.9022181982797646,1.0,1.0
109.0,1.0,-0.9013128112267994,1.0,1.0
110.0,1.0,-0.9004074241738343,1.0,1.0
111.0,1.0,-0.8995020371208692,1.0,1.0
112.0,1.0,-0.898596650067904,1.0,1.0
113.0,1.0,-0.8976912630149388,1.0,1.0
114.0,1.0,-0.8967858759619738,1.0,1.0
115.0,1.0,-0.8958804889090086,1.0,1.0
116.0,1.0,-0.8949751018560435,1.0,1.0
117.0,1.0,-0.8940697148030783,1.0,1.0
118.0,1.0,-0.8931643277501131,1.0,1.0
119.0,1.0,-0.8922589406971481,1.0,1.0
120.0,1.0,-0.8913535536441829,1.0,1.0
121.0,1.0,-0.8904481665912177,1.0,1.0
122.0,1.0,-0.8895427795382526,1.0,1.0
123.0,1.0,-0.8886373924852875,1.0,1.0
124.0,1.0,-0.8877320054323223,1.0,1.0
125.0,1.0,-0.8868266183793572,1.0,1.0
126.0,1.0,-0.885921231326392,1.0,1.0
127.0,1.0,-0.8850158442734268,1.0,1.0
128.0,1.0,-0.8841104572204618,1.0,1.0
129.0,1.0,-0.8832050701674966,1.0,1.0
130.0,1.0,-0.8822996831145314,1.0,1.0
131.0,1.0,-0.8813942960615663,1.0,1.0
132.0,1.0,-0.8804889090086012,1.0,1.0
133.0,1.0,-0.879583521955636,1.0,1.0
134.0,1.0,-0.8786781349026709,1.0,1.0
135.0,1.0,-0.8777727478497057,1.0,1.0
136.0,1.0,-0.8768673607967405,1.0,1.0
137.0,1.0,-0.8759619737437755,1.0,1.0
138.0,1.0,-0.8750565866908103,1.0,1.0
139.0,1.0,-0.8741511996378452,1.0,1.0
140.0,1.0,-0.8732458125848801,1.0,1.0
141.0,1.0,-0.8723404255319149,1.0,1.0
142.0,1.0,-0.8714350384789498,1.0,1.0
143.0,1.0,-0.8705296514259846,1.0,1.0
144.0,1.0,-0.8696242643730194,1.0,1.0
145.0,1.0,-0.8687188773200543,1.0,1.0
146.0,1.0,-0.8678134902670892,1.0,1.0
147.0,1.0,-0.866908103214124,1.0,1.0
148.0,1.0,-0.8660027161611589,1.0,1.0
149.0,1.0,-0.8650973291081938,1.0,1.0
150.0,1.0,-0.8641919420552286,1.0,1.0
151.0,1.0,-0.8632865550022635,1.0,1.0
