,const,linear_drift,scene_boxcar,scene_hrf
0.0,1.0,-1.0,1.0,0.0
1.0,1.0,-0.9990937924784775,1.0,3.517579020598222e-11
2.0,1.0,-0.9981875849569551,1.0,0.004498217331729651
3.0,1.0,-0.9972813774354327,1.0,0.07105128388641582
4.0,1.0,-0.9963751699139103,1.0,0.2752137781353675
5.0,1.0,-0.9954689623923878,1.0,0.6001635504883386
6.0,1.0,-0.9945627548708654,1.0,0.9568594777375395
7.0,1.0,-0.993656547349343,1.0,1.2582601403055065
8.0,1.0,-0.9927503398278206,1.0,1.4576162165559468
9.0,1.0,-0.9918441323062981,1.0,1.5485709462234536
10.0,1.0,-0.9909379247847757,1.0,1.5504475470688206
11.0,1.0,-0.9900317172632532,1.0,1.4931082062966077
12.0,1.0,-0.9891255097417309,1.0,1.4060708926641758
13.0,1.0,-0.9882193022202084,1.0,1.3124670821013138
14.0,1.0,-0.987313094698686,1.0,1.2270590581985625
15.0,1.0,-0.9864068871771635,1.0,1.1569944670428836
16.0,1.0,-0.9855006796556411,1.0,1.103885912161946
17.0,1.0,-0.9845944721341187,1.0,1.0660969971947978
18.0,1.0,-0.9836882646125963,1.0,1.04059224726336
19.0,1.0,-0.9827820570910738,1.0,1.024141641926752
20.0,1.0,-0.9818758495695514,1.0,1.0139435033434574
21.0,1.0,-0.980969642048029,1.0,1.0078396744243987
22.0,1.0,-0.9800634345265066,1.0,1.0042994390465931
23.0,1.0,-0.9791572270049841,1.0,1.002303479228654
24.0,1.0,-0.9782510194834617,1.0,1.001206747767553
25.0,1.0,-0.9773448119619392,1.0,1.0006180980362542
26.0,1.0,-0.9764386044404169,1.0,1.000308874685697
27.0,1.0,-0.9755323969188944,1.0,1.00014962037378
28.0,1.0,-0.974626189397372,1.0,1.0000690879642506
29.0,1.0,-0.9737199818758495,1.0,1.0000290479953222
30.0,1.0,-0.9728137743543271,1.0,1.00000945141189
31.0,1.0,-0.9719075668328047,1.0,1.0
32.0,1.0,-0.9710013593112823,1.0,1.0
33.0,1.0,-0.9700951517897598,1.0,1.0
34.0,1.0,-0.9691889442682374,1.0,1.0
35.0,1.0,-0.968282736746715,1.0,1.0
36.0,1.0,-0.9673765292251926,1.0,1.0
37.0,1.0,-0.9664703217036701,1.0,1.0
38.0,1.0,-0.9655641141821477,1.0,1.0
39.0,1.0,-0.9646579066606252,1.0,1.0
40.0,1.0,-0.9637516991391029,1.0,1.0
41.0,1.0,-0.9628454916175804,1.0,1.0
42.0,1.0,-0.961939284096058,1.0,1.0
43.0,1.0,-0.9610330765745355,1.0,1.0
44.0,1.0,-0.9601268690530131,1.0,1.0
45.0,1.0,-0.9592206615314907,1.0,1.0
46.0,1.0,-0.9583144540099683,1.0,1.0
47.0,1.0,-0.9574082464884458,1.0,1.0
48.0,1.0,-0.9565020389669234,1.0,1.0
49.0,1.0,-0.955595831445401,1.0,1.0
50.0,1.0,-0.9546896239238786,1.0,1.0
51.0,1.0,-0.9537834164023561,1.0,1.0
52.0,1.0,-0.9528772088808337,1.0,1.0
53.0,1.0,-0.9519710013593112,1.0,1.0
54.0,1.0,-0.9510647938377889,1.0,1.0
55.0,1.0,-0.9501585863162664,1.0,1.0
56.0,1.0,-0.949252378794744,1.0,1.0
57.0,1.0,-0.9483461712732215,1.0,1.0
58.0,1.0,-0.9474399637516991,1.0,1.0
59.0,1.0,-0.9465337562301767,1.0,1.0
60.0,1.0,-0.9456275487086543,1.0,1.0
61.0,1.0,-0.9447213411871318,1.0,1.0
62.0,1.0,-0.9438151336656094,1.0,1.0
63.0,1.0,-0.942908926144087,1.0,1.0
64.0,1.0,-0.9420027186225646,1.0,1.0
65.0,1.0,-0.9410965111010421,1.0,1.0
66.0,1.0,-0.9401903035795197,1.0,1.0
67.0,1.0,-0.9392840960579972,1.0,1.0
68.0,1.0,-0.9383778885364749,1.0,1.0
69.0,1.0,-0.9374716810149524,1.0,1.0
70.0,1.0,-0.93656547349343,1.0,1.0
71.0,1.0,-0.9356592659719075,1.0,1.0
72.0,1.0,-0.9347530584503851,1.0,1.0
73.0,1.0,-0.9338468509288627,1.0,1.0
74.0,1.0,-0.9329406434073403,1.0,1.0
75.0,1.0,-0.9320344358858178,1.0,1.0
76.0,1.0,-0.9311282283642954,1.0,1.0
77.0,1.0,-0.930222020842773,1.0,1.0
78.0,1.0,-0.9293158133212506,1.0,1.0
79.0,1.0,-0.9284096057997281,1.0,1.0
80.0,1.0,-0.9275033982782057,1.0,1.0
81.0,1.0,-0.9265971907566832,1.0,1.0
82.0,1.0,-0.9256909832351609,1.0,1.0
83.0,1.0,-0.9247847757136384,1.0,1.0
84.0,1.0,-0.923878568192116,1.0,1.0
85.0,1.0,-0.9229723606705935,1.0,1.0
86.0,1.0,-0.9220661531490711,1.0,1.0
87.0,1.0,-0.9211599456275487,1.0,1.0
88.0,1.0,-0.9202537381060263,1.0,1.0
89.0,1.0,-0.9193475305845038,1.0,1.0
90.0,1.0,-0.9184413230629814,1.0,1.0
91.0,1.0,-0.917535115541459,1.0,1.0
92.0,1.0,-0.9166289080199366,1.0,1.0
93.0,1.0,-0.9157227004984141,1.0,1.0
94.0,1.0,-0.9148164929768917,1.0,1.0
95.0,1.0,-0.9139102854553692,1.0,1.0
96.0,1.0,-0.9130040779338469,1.0,1.0
97.0,1.0,-0.9120978704123244,1.0,1.0
98.0,1.0,-0.911191662890802,1.0,1.0
99.0,1.0,-0.9102854553692795,1.0,1.0
100.0,1.0,-0.9093792478477571,1.0,1.0
101.0,1.0,-0.9084730403262347,1.0,1.0
102.0,1.0,-0.9075668328047123,1.0,1.0
103.0,1.0,-0.9066606252831898,1.0,1.0
104.0,1.0,-0.9057544177616674,1.0,1.0
105.0,1.0,-0.904848210240145,1.0,1.0
106.0,1.0,-0.9039420027186226,1.0,1.0
107.0,1.0,-0.9030357951971001,1.0,1.0
108.0,1.0,-0.9021295876755777,1.0,1.0
109.0,1.0,-0.9012233801540552,1.0,1.0
110.0,1.0,-0.9003171726325329,1.0,1.0
111.0,1.0,-0.8994109651110104,1.0,1.0
112.0,1.0,-0.898504757589488,1.0,1.0
113.0,1.0,-0.8975985500679655,1.0,1.0
114.0,1.0,-0.8966923425464431,1.0,1.0
115.0,1.0,-0.8957861350249207,1.0,1.0
116.0,1.0,-0.8948799275033983,1.0,1.0
117.0,1.0,-0.8939737199818758,1.0,1.0
118.0,1.0,-0.8930675124603534,1.0,1.0
119.0,1.0,-0.892161304938831,1.0,1.0
120.0,1.0,-0.8912550974173086,1.0,1.0
121.0,1.0,-0.8903488898957861,1.0,1.0
122.0,1.0,-0.8894426823742637,1.0,1.0
123.0,1.0,-0.8885364748527412,1.0,1.0
124.0,1.0,-0.8876302673312189,1.0,1.0
125.0,1.0,-0.8867240598096964,1.0,1.0
126.0,1.0,-0.885817852288174,1.0,1.0
127.0,1.0,-0.8849116447666515,1.0,1.0
128.0,1.0,-0.8840054372451291,1.0,1.0
129.0,1.0,-0.8830992297236067,1.0,1.0
130.0,1.0,-0.8821930222020843,1.0,1.0
131.0,1.0,-0.8812868146805618,1.0,1.0
132.0,1.0,-0.8803806071590394,1.0,1.0
133.0,1.0,-0.879474399637517,1.0,1.0
134.0,1.0,-0.8785681921159946,1.0,1.0
135.0,1.0,-0.8776619845944721,1.0,1.0
136.0,1.0,-0.8767557770729497,1.0,1.0
137.0,1.0,-0.8758495695514272,1.0,1.0
138.0,1.0,-0.8749433620299049,1.0,1.0
139.0,1.0,-0.8740371545083824,1.0,1.0
140.0,1.0,-0.87313094698686,1.0,1.0
141.0,1.0,-0.8722247394653375,1.0,1.0
142.0,1.0,-0.8713185319438151,1.0,1.0
143.0,1.0,-0.8704123244222927,1.0,1.0
144.0,1.0,-0.8695061169007703,1.0,1.0
145.0,1.0,-0.8685999093792478,1.0,1.0
146.0,1.0,-0.8676937018577254,1.0,1.0
147.0,1.0,-0.866787494336203,1.0,1.0
148.0,1.0,-0.8658812868146806,1.0,1.0
149.0,1.0,-0.8649750792931581,1.0,1.0
150.0,1.0,-0.8640688717716357,1.0,1.0
151.0,1.0,-0.8631626642501132,1.0,1.0
152.0,1.0,-0.8622564567285909,1.0,1.0
153.0,1.0,-0.8613502492070684,1.0,1.0
154.0,1.0,-0.860444041685546,1.0,1.0
155.0,1.0,-0.8595378341640235,1.0,1.0
156.0,1.0,-0.8586316266425011,1.0,1.0
157.0,1.0,-0.8577254191209787,1.0,1.0
158.0,1.0,-0.8568192115994563,1.0,1.0
159.0,1.0,-0.8559130040779338,1.0,1.0
160.0,1.0,-0.8550067965564114,1.0,1.0
161.0,1.0,-0.854100589034889,1.0,1.0
162.0,1.0,-0.8531943815133666,1.0,1.0
163.0,1.0,-0.8522881739918441,1.0,1.0
164.0,1.0,-0.8513819664703217,1.0,1.0
165.0,1.0,-0.8504757589487992,1.0,1.0
166.0,1.0,-0.8495695514272769,1.0,1.0
167.0,1.0,-0.8486633439057544,1.0,1.0
168.0,1.0,-0.847757136384232,1.0,1.0
169.0,1.0,-0.8468509288627095,1.0,1.0
170.0,1.0,-0.8459447213411871,1.0,1.0
171.0,1.0,-0.8450385138196647,1.0,1.0
172.0,1.0,-0.8441323062981423,1.0,1.0
173.0,1.0,-0.8432260987766198,1.0,1.0
174.0,1.0,-0.8423198912550974,1.0,1.0
175.0,1.0,-0.841413683733575,1.0,1.0
