,const,linear_drift,scene_boxcar,scene_hrf
0.0,1.0,-1.0,1.0,0.0
1.0,1.0,-0.9990950226244344,1.0,3.517579020598222e-11
2.0,1.0,-0.9981900452488688,1.0,0.004498217331729651
3.0,1.0,-0.9972850678733032,1.0,0.07105128388641582
4.0,1.0,-0.9963800904977376,1.0,0.2752137781353675
5.0,1.0,-0.995475113122172,1.0,0.6001635504883386
6.0,1.0,-0.9945701357466064,1.0,0.9568594777375395
7.0,1.0,-0.9936651583710407,1.0,1.2582601403055065
8.0,1.0,-0.9927601809954751,1.0,1.4576162165559468
9.0,1.0,-0.9918552036199095,1.0,1.5485709462234536
10.0,1.0,-0.9909502262443439,1.0,1.5504475470688206
11.0,1.0,-0.9900452488687783,1.0,1.4931082062966077
12.0,1.0,-0.9891402714932127,1.0,1.4060708926641758
13.0,1.0,-0.9882352941176471,1.0,1.3124670821013138
14.0,1.0,-0.9873303167420815,1.0,1.2270590581985625
15.0,1.0,-0.9864253393665159,1.0,1.1569944670428836
16.0,1.0,-0.9855203619909503,1.0,1.103885912161946
17.0,1.0,-0.9846153846153847,1.0,1.0660969971947978
18.0,1.0,-0.983710407239819,1.0,1.04059224726336
19.0,1.0,-0.9828054298642533,1.0,1.024141641926752
20.0,1.0,-0.9819004524886877,1.0,1.0139435033434574
21.0,1.0,-0.9809954751131221,1.0,1.0078396744243987
22.0,1.0,-0.9800904977375565,1.0,1.0042994390465931
23.0,1.0,-0.9791855203619909,1.0,1.002303479228654
24.0,1.0,-0.9782805429864253,1.0,1.001206747767553
25.0,1.0,-0.9773755656108597,1.0,1.0006180980362542
26.0,1.0,-0.9764705882352941,1.0,1.000308874685697
27.0,1.0,-0.9755656108597285,1.0,1.00014962037378
28.0,1.0,-0.9746606334841629,1.0,1.0000690879642506
29.0,1.0,-0.9737556561085973,1.0,1.0000290479953222
30.0,1.0,-0.9728506787330317,1.0,1.00000945141189
31.0,1.0,-0.971945701357466,1.0,1.0
32.0,1.0,-0.9710407239819004,1.0,1.0
33.0,1.0,-0.9701357466063348,1.0,1.0
34.0,1.0,-0.9692307692307692,1.0,1.0
35.0,1.0,-0.9683257918552036,1.0,1.0
36.0,1.0,-0.967420814479638,1.0,1.0
37.0,1.0,-0.9665158371040724,1.0,1.0
38.0,1.0,-0.9656108597285068,1.0,1.0
39.0,1.0,-0.9647058823529412,1.0,1.0
40.0,1.0,-0.9638009049773756,1.0,1.0
41.0,1.0,-0.96289592760181,1.0,1.0
42.0,1.0,-0.9619909502262444,1.0,1.0
43.0,1.0,-0.9610859728506788,1.0,1.0
44.0,1.0,-0.9601809954751132,1.0,1.0
45.0,1.0,-0.9592760180995475,1.0,1.0
46.0,1.0,-0.9583710407239819,1.0,1.0
47.0,1.0,-0.9574660633484163,1.0,1.0
48.0,1.0,-0.9565610859728507,1.0,1.0
49.0,1.0,-0.9556561085972851,1.0,1.0
50.0,1.0,-0.9547511312217195,1.0,1.0
51.0,1.0,-0.9538461538461538,1.0,1.0
52.0,1.0,-0.9529411764705882,1.0,1.0
53.0,1.0,-0.9520361990950226,1.0,1.0
54.0,1.0,-0.951131221719457,1.0,1.0
55.0,1.0,-0.9502262443438914,1.0,1.0
56.0,1.0,-0.9493212669683257,1.0,1.0
57.0,1.0,-0.9484162895927601,1.0,1.0
58.0,1.0,-0.9475113122171945,1.0,1.0
59.0,1.0,-0.9466063348416289,1.0,1.0
60.0,1.0,-0.9457013574660633,1.0,1.0
61.0,1.0,-0.9447963800904977,1.0,1.0
62.0,1.0,-0.9438914027149321,1.0,1.0
63.0,1.0,-0.9429864253393665,1.0,1.0
64.0,1.0,-0.9420814479638009,1.0,1.0
65.0,1.0,-0.9411764705882353,1.0,1.0
66.0,1.0,-0.9402714932126697,1.0,1.0
67.0,1.0,-0.9393665158371041,1.0,1.0
68.0,1.0,-0.9384615384615385,1.0,1.0
69.0,1.0,-0.9375565610859729,1.0,1.0
70.0,1.0,-0.9366515837104072,1.0,1.0
71.0,1.0,-0.9357466063348416,1.0,1.0
72.0,1.0,-0.934841628959276,1.0,1.0
73.0,1.0,-0.9339366515837104,1.0,1.0
74.0,1.0,-0.9330316742081448,1.0,1.0
75.0,1.0,-0.9321266968325792,1.0,1.0
76.0,1.0,-0.9312217194570136,1.0,1.0
77.0,1.0,-0.930316742081448,1.0,1.0
78.0,1.0,-0.9294117647058824,1.0,1.0
79.0,1.0,-0.9285067873303168,1.0,1.0
80.0,1.0,-0.9276018099547512,1.0,1.0
81.0,1.0,-0.9266968325791856,1.0,1.0
82.0,1.0,-0.92579185520362,1.0,1.0
83.0,1.0,-0.9248868778280543,1.0,1.0
84.0,1.0,-0.9239819004524887,1.0,1.0
85.0,1.0,-0.9230769230769231,1.0,1.0
86.0,1.0,-0.9221719457013575,1.0,1.0
87.0,1.0,-0.9212669683257919,1.0,1.0
88.0,1.0,-0.9203619909502262,1.0,1.0
89.0,1.0,-0.9194570135746606,1.0,1.0
90.0,1.0,-0.918552036199095,1.0,1.0
91.0,1.0,-0.9176470588235294,1.0,1.0
92.0,1.0,-0.9167420814479638,1.0,1.0
93.0,1.0,-0.9158371040723982,1.0,1.0
94.0,1.0,-0.9149321266968325,1.0,1.0
95.0,1.0,-0.9140271493212669,1.0,1.0
96.0,1.0,-0.9131221719457013,1.0,1.0
97.0,1.0,-0.9122171945701357,1.0,1.0
