,const,linear_drift,scene_boxcar,scene_hrf
65.0,1.0,-0.9412030755314338,1.0,1.0
66.0,1.0,-0.9402985074626866,1.0,1.0
67.0,1.0,-0.9393939393939394,1.0,1.0
68.0,1.0,-0.9384893713251923,1.0,1.0
69.0,1.0,-0.937584803256445,1.0,1.0
70.0,1.0,-0.9366802351876978,1.0,1.0
71.0,1.0,-0.9357756671189507,1.0,1.0
72.0,1.0,-0.9348710990502035,1.0,1.0
73.0,1.0,-0.9339665309814563,1.0,1.0
74.0,1.0,-0.9330619629127092,1.0,1.0
75.0,1.0,-0.932157394843962,1.0,1.0
76.0,1.0,-0.9312528267752148,1.0,1.0
77.0,1.0,-0.9303482587064676,1.0,1.0
78.0,1.0,-0.9294436906377205,1.0,1.0
79.0,1.0,-0.9285391225689733,1.0,1.0
80.0,1.0,-0.9276345545002261,1.0,1.0
81.0,1.0,-0.926729986431479,1.0,1.0
82.0,1.0,-0.9258254183627318,1.0,1.0
83.0,1.0,-0.9249208502939846,1.0,1.0
84.0,1.0,-0.9240162822252375,1.0,1.0
85.0,1.0,-0.9231117141564903,1.0,1.0
86.0,1.0,-0.9222071460877431,1.0,1.0
87.0,1.0,-0.921302578018996,1.0,1.0
88.0,1.0,-0.9203980099502488,1.0,1.0
89.0,1.0,-0.9194934418815016,1.0,1.0
90.0,1.0,-0.9185888738127544,1.0,1.0
91.0,1.0,-0.9176843057440073,1.0,1.0
92.0,1.0,-0.9167797376752601,1.0,1.0
93.0,1.0,-0.9158751696065128,1.0,1.0
94.0,1.0,-0.9149706015377657,1.0,1.0
95.0,1.0,-0.9140660334690185,1.0,1.0
96.0,1.0,-0.9131614654002713,1.0,1.0
97.0,1.0,-0.9122568973315242,1.0,1.0
98.0,1.0,-0.911352329262777,1.0,1.0
99.0,1.0,-0.9104477611940298,1.0,1.0
100.0,1.0,-0.9095431931252826,1.0,1.0
101.0,1.0,-0.9086386250565355,1.0,1.0
102.0,1.0,-0.9077340569877883,1.0,1.0
103.0,1.0,-0.9068294889190411,1.0,1.0
104.0,1.0,-0.905924920850294,1.0,1.0
105.0,1.0,-0.9050203527815468,1.0,1.0
106.0,1.0,-0.9041157847127996,1.0,1.0
107.0,1.0,-0.9032112166440525,1.0,1.0
108.0,1.0,-0.9023066485753053,1.0,1.0
109.0,1.0,-0.9014020805065581,1.0,1.0
110.0,1.0,-0.900497512437811,1.0,1.0
111.0,1.0,-0.8995929443690638,1.0,1.0
112.0,1.0,-0.8986883763003166,1.0,1.0
113.0,1.0,-0.8977838082315694,1.0,1.0
114.0,1.0,-0.8968792401628223,1.0,1.0
115.0,1.0,-0.8959746720940751,1.0,1.0
116.0,1.0,-0.8950701040253279,1.0,1.0
117.0,1.0,-0.8941655359565808,1.0,1.0
118.0,1.0,-0.8932609678878336,1.0,1.0
119.0,1.0,-0.8923563998190864,1.0,1.0
120.0,1.0,-0.8914518317503393,1.0,1.0
121.0,1.0,-0.8905472636815921,1.0,1.0
122.0,1.0,-0.8896426956128449,1.0,1.0
123.0,1.0,-0.8887381275440976,1.0,1.0
124.0,1.0,-0.8878335594753505,1.0,1.0
125.0,1.0,-0.8869289914066033,1.0,1.0
126.0,1.0,-0.8860244233378561,1.0,1.0
127.0,1.0,-0.885119855269109,1.0,1.0
128.0,1.0,-0.8842152872003618,1.0,1.0
129.0,1.0,-0.8833107191316146,1.0,1.0
130.0,1.0,-0.8824061510628675,1.0,1.0
131.0,1.0,-0.8815015829941203,1.0,1.0
132.0,1.0,-0.8805970149253731,1.0,1.0
133.0,1.0,-0.879692446856626,1.0,1.0
134.0,1.0,-0.8787878787878788,1.0,1.0
135.0,1.0,-0.8778833107191316,1.0,1.0
136.0,1.0,-0.8769787426503844,1.0,1.0
137.0,1.0,-0.8760741745816373,1.0,1.0
138.0,1.0,-0.8751696065128901,1.0,1.0
139.0,1.0,-0.8742650384441429,1.0,1.0
140.0,1.0,-0.8733604703753958,1.0,1.0
141.0,1.0,-0.8724559023066486,1.0,1.0
142.0,1.0,-0.8715513342379014,1.0,1.0
143.0,1.0,-0.8706467661691543,1.0,1.0
144.0,1.0,-0.8697421981004071,1.0,1.0
145.0,1.0,-0.8688376300316598,1.0,1.0
