subject,ROI,mean_z
sub-002,Supracalcarine Cortex,-0.02438462311112252
sub-002,Occipital Pole,0.0
sub-003,Frontal Pole,0.04347934400040841
sub-003,Insular Cortex,0.007955909271537725
sub-003,Superior Frontal Gyrus,0.0322070454664251
sub-003,Middle Frontal Gyrus,0.027796139643139293
sub-003,"Inferior Frontal Gyrus, pars triangularis",0.25039731376940033
sub-003,"Inferior Frontal Gyrus, pars opercularis",0.3933199095282352
sub-003,Precentral Gyrus,-0.1106967505108643
sub-003,Temporal Pole,-0.0034805082404690273
sub-003,"Superior Temporal Gyrus, anterior division",0.004293121717653571
sub-003,"Superior Temporal Gyrus, posterior division",0.007683349590591469
sub-003,"Middle Temporal Gyrus, anterior division",0.0
sub-003,"Middle Temporal Gyrus, posterior division",0.0012311618334535997
sub-003,"Middle Temporal Gyrus, temporooccipital part",0.002912199246291845
sub-003,"Inferior Temporal Gyrus, anterior division",0.0
sub-003,"Inferior Temporal Gyrus, posterior division",4.702398593374791e-05
sub-003,"Inferior Temporal Gyrus, temporooccipital part",0.0
sub-003,Postcentral Gyrus,-0.14372781933519596
sub-003,Superior Parietal Lobule,-0.23407505235683085
sub-003,"Supramarginal Gyrus, anterior division",-0.3380547322208955
sub-003,"Supramarginal Gyrus, posterior division",-0.07576349570467418
sub-003,Angular Gyrus,-0.050722127839808076
sub-003,"Lateral Occipital Cortex, superior division",-0.008974265813180617
sub-003,"Lateral Occipital Cortex, inferior division",0.0
sub-003,Intracalcarine Cortex,0.1718327088023908
sub-003,Frontal Medial Cortex,0.0
sub-003,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.14096872516048406
sub-003,Subcallosal Cortex,0.0522802221561227
sub-003,Paracingulate Gyrus,-0.0579018308336422
sub-003,"Cingulate Gyrus, anterior division",0.10811595584907206
sub-003,"Cingulate Gyrus, posterior division",-0.09108687935190282
sub-003,Precuneous Cortex,0.013580572189372548
sub-003,Cuneal Cortex,-9.284437860441324e-05
sub-003,Frontal Orbital Cortex,-0.014680825114884883
sub-003,"Parahippocampal Gyrus, anterior division",0.18374148921055983
sub-003,"Parahippocampal Gyrus, posterior division",0.20438984824396308
sub-003,Lingual Gyrus,0.16824133375076433
sub-003,"Temporal Fusiform Cortex, anterior division",0.013587234585285386
sub-003,"Temporal Fusiform Cortex, posterior division",0.08709743291538996
sub-003,Temporal Occipital Fusiform Cortex,0.037021206530302435
sub-003,Occipital Fusiform Gyrus,0.0
sub-003,Frontal Opercular Cortex,0.034426907761692424
sub-003,Central Opercular Cortex,-0.09209156663630406
sub-003,Parietal Opercular Cortex,-0.2911781041207682
sub-003,Planum Polare,0.0020595142311534346
sub-003,Heschl's Gyrus (includes H1 and H2),0.012876294276989676
sub-003,Planum Temporale,-0.1772556740152247
sub-003,Supracalcarine Cortex,0.22550787703921124
sub-003,Occipital Pole,
sub-004,Frontal Pole,-0.05391283792953758
sub-004,Insular Cortex,-0.13734107184647182
sub-004,Superior Frontal Gyrus,-0.08897036951951397
sub-004,Middle Frontal Gyrus,-0.04398613495050895
sub-004,"Inferior Frontal Gyrus, pars triangularis",-0.295576239874801
sub-004,"Inferior Frontal Gyrus, pars opercularis",0.004778182009688977
sub-004,Precentral Gyrus,-0.21922192392734755
sub-004,Temporal Pole,0.009524423109585262
sub-004,"Superior Temporal Gyrus, anterior division",0.07249390595841974
sub-004,"Superior Temporal Gyrus, posterior division",0.07893847273884323
sub-004,"Middle Temporal Gyrus, anterior division",0.019874601453104056
sub-004,"Middle Temporal Gyrus, posterior division",0.08455569913181285
sub-004,"Middle Temporal Gyrus, temporooccipital part",-0.02226990510314522
sub-004,"Inferior Temporal Gyrus, anterior division",-0.03897168249791286
sub-004,"Inferior Temporal Gyrus, posterior division",-0.04497019447396508
sub-004,"Inferior Temporal Gyrus, temporooccipital part",-0.023208782911925584
sub-004,Postcentral Gyrus,-0.3673733090429321
sub-004,Superior Parietal Lobule,-0.32654291387993306
sub-004,"Supramarginal Gyrus, anterior division",-0.12352758069094237
sub-004,"Supramarginal Gyrus, posterior division",-0.08691739618533424
sub-004,Angular Gyrus,-0.0464871589077737
sub-004,"Lateral Occipital Cortex, superior division",-0.002686851258443106
sub-004,"Lateral Occipital Cortex, inferior division",-0.0005614195161769601
sub-004,Intracalcarine Cortex,-0.017651105264295693
sub-004,Frontal Medial Cortex,0.0
sub-004,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.14937637298944534
sub-004,Subcallosal Cortex,-0.025887828833416213
sub-004,Paracingulate Gyrus,-0.13444510861645276
sub-004,"Cingulate Gyrus, anterior division",-0.31636437809909607
sub-004,"Cingulate Gyrus, posterior division",-0.18310588870459404
sub-004,Precuneous Cortex,-0.10017335073986595
sub-004,Cuneal Cortex,0.0
sub-004,Frontal Orbital Cortex,-0.00902474314417646
sub-004,"Parahippocampal Gyrus, anterior division",-0.11542204907594786
sub-004,"Parahippocampal Gyrus, posterior division",-0.05978074540018636
sub-004,Lingual Gyrus,0.0012753221092534888
sub-004,"Temporal Fusiform Cortex, anterior division",-0.08696300435600232
sub-004,"Temporal Fusiform Cortex, posterior division",-0.058185536271674256
sub-004,Temporal Occipital Fusiform Cortex,0.19774152829297187
sub-004,Occipital Fusiform Gyrus,0.007086843832881401
sub-004,Frontal Opercular Cortex,-0.03610205182874321
sub-004,Central Opercular Cortex,0.0005108524796637483
sub-004,Parietal Opercular Cortex,-0.04205806904347058
sub-004,Planum Polare,0.026294876571591425
sub-004,Heschl's Gyrus (includes H1 and H2),-0.09509956414984391
sub-004,Planum Temporale,-0.1598670280040507
sub-004,Supracalcarine Cortex,0.008725386860401042
sub-004,Occipital Pole,0.0
sub-005,Frontal Pole,-0.027274998109214934
sub-005,Insular Cortex,0.11206491329963032
sub-005,Superior Frontal Gyrus,-0.7037005633463193
sub-005,Middle Frontal Gyrus,-0.30564255848092625
sub-005,"Inferior Frontal Gyrus, pars triangularis",0.17420270889338674
sub-005,"Inferior Frontal Gyrus, pars opercularis",0.2991727805728354
sub-005,Precentral Gyrus,-0.25093199223807955
sub-005,Temporal Pole,-0.04310995594414294
sub-005,"Superior Temporal Gyrus, anterior division",-0.23993527834546674
sub-005,"Superior Temporal Gyrus, posterior division",-0.0017723533637342675
sub-005,"Middle Temporal Gyrus, anterior division",-0.0027108716012942623
sub-005,"Middle Temporal Gyrus, posterior division",-0.013947122023842764
sub-005,"Middle Temporal Gyrus, temporooccipital part",-0.00029417801761366235
sub-005,"Inferior Temporal Gyrus, anterior division",-0.04539123509605601
sub-005,"Inferior Temporal Gyrus, posterior division",-0.0666636212532601
sub-005,"Inferior Temporal Gyrus, temporooccipital part",0.001236320140182178
sub-005,Postcentral Gyrus,-0.33129079104853165
sub-005,Superior Parietal Lobule,-0.3759774309134134
sub-005,"Supramarginal Gyrus, anterior division",-0.14192154092482043
sub-005,"Supramarginal Gyrus, posterior division",-0.07987283284653254
sub-005,Angular Gyrus,-0.0013998114361305034
sub-005,"Lateral Occipital Cortex, superior division",0.0
sub-005,"Lateral Occipital Cortex, inferior division",0.0
sub-005,Intracalcarine Cortex,0.03777767783809169
sub-005,Frontal Medial Cortex,0.0
sub-005,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.32254765092588006
sub-005,Subcallosal Cortex,-0.06010782892129165
sub-005,Paracingulate Gyrus,-0.01580602790549611
sub-005,"Cingulate Gyrus, anterior division",-0.2490319202022241
sub-005,"Cingulate Gyrus, posterior division",-0.4724743943323655
sub-005,Precuneous Cortex,-0.09707205140053601
sub-005,Cuneal Cortex,0.0
sub-005,Frontal Orbital Cortex,0.01843194285009893
sub-005,"Parahippocampal Gyrus, anterior division",-0.1569180626102599
sub-005,"Parahippocampal Gyrus, posterior division",0.07042709431277676
sub-005,Lingual Gyrus,0.1203178155403079
sub-005,"Temporal Fusiform Cortex, anterior division",-0.102939138130267
sub-005,"Temporal Fusiform Cortex, posterior division",-0.2137462869265127
sub-005,Temporal Occipital Fusiform Cortex,0.0306275742246089
sub-005,Occipital Fusiform Gyrus,0.025586859700684004
sub-005,Frontal Opercular Cortex,0.10625192241936454
sub-005,Central Opercular Cortex,0.5639735370446876
sub-005,Parietal Opercular Cortex,0.0029405433565362128
sub-005,Planum Polare,-0.1721093360308083
sub-005,Heschl's Gyrus (includes H1 and H2),0.6453617474799661
sub-005,Planum Temporale,0.06559356750276335
sub-005,Supracalcarine Cortex,0.011778905484725103
sub-005,Occipital Pole,0.0
